FirstName;LastName;age;City;State;StreetAddress;streetNumber
John;Kennedy;34;Atlanta;Kansas;Westside Freeway;44253
William;Fillmore;26;Boise;Missouri;Jean de la Fontaine;42787
Franklin;Jefferson;31;Carson City;Kentucky;Timberlane Drive;72023
Ronald;Ford;95;Salem;Idaho;Erringer Road;56346
James;Reagan;76;Little Rock;Iowa;San Luis Obispo North;36598
Bill;Adams;45;Santa Fe;Maryland;South Roosevelt Drive;94736
Harry;Van Buren;42;Annapolis;Colorado;S Rustle St;52572
Dwight;Grant;41;Raleigh;Colorado;Pacific Hwy S;49697
Jimmy;Arthur;96;Sacramento;Texas;N Kentwood;22085
Zachary;Roosevelt;70;Lincoln;Rhode Island;Cleveland Ave.;48775
John;Taylor;20;Topeka;Colorado;Hutchinson Rd;11692
Gerald;Taft;66;Tallahassee;Pennsylvania;Newbury Road;21483
Dwight;Cleveland;34;Columbia;Virginia;Carpinteria South;50918
John;Johnson;31;Jackson;New Mexico;San Ysidro Blvd;21703
Calvin;Tyler;17;Saint Paul;Virginia;San Diego Freeway;15073
Woodrow;Harrison;90;Lansing;Hawaii;Westside Freeway;17337
Dwight;Roosevelt;88;Frankfort;South Dakota;N Harrison St;35217
Warren;Harding;66;Baton Rouge;Utah;Tanger Blvd;72970
Dwight;Cleveland;56;Jackson;Montana;Carpinteria South;99762
Warren;Buchanan;60;Madison;Kentucky;Monroe Street;74405
Lyndon;Grant;15;Nashville;Kansas;Santa Monica Road;92983
Lyndon;Polk;74;Honolulu;Georgia;Lawrenceville Suwanee;76864
Benjamin;Hoover;65;Denver;Wisconsin;Jean de la Fontaine;47340
Bill;Grant;56;Little Rock;Montana;Carpinteria South;39125
Herbert;Jackson;73;Jefferson City;Illinois;Burnett Road;58823
James;Roosevelt;17;Charleston;Nevada;South Highway;32349
Dwight;Grant;27;Pierre;Arizona;Redwood Highway;40938
Ronald;Tyler;32;Lansing;Connecticut;San Simeon;69400
Thomas;Nixon;34;Jefferson City;Maryland;Fairview Avenue;35283
Franklin;McKinley;26;Austin;Kentucky;Lake Tahoe Blvd.;83348
Warren;Eisenhower;72;Boston;New Hampshire;N Harrison St;90162
Jimmy;Grant;87;Cheyenne;Pennsylvania;S Rustle St;24092
James;Fillmore;67;Topeka;South Dakota;East Main Street;97014
Millard;Grant;78;Jackson;Nevada;Tanger Blvd;31767
Martin;Johnson;47;Santa Fe;Wisconsin;Erringer Road;94787
Martin;Harrison;80;Cheyenne;Hawaii;San Simeon;63165
Franklin;Nixon;88;Little Rock;Kentucky;El Camino Real;20261
Millard;Ford;29;Concord;Washington;N Kentwood;81842
George;Tyler;53;Montpelier;Minnesota;Hutchinson Rd;76780
Grover;Eisenhower;68;Nashville;New York;Apalachee Parkway;99111
Rutherford;Cleveland;94;Montgomery;Wyoming;Castillo Drive;92275
Ronald;Harrison;47;Oklahoma City;Colorado;N Kentwood;57695
John;Polk;18;Baton Rouge;Texas;East Fry Blvd.;40797
Millard;Fillmore;85;Concord;Connecticut;Tully Road East;54434
Ulysses;Nixon;77;Concord;Ohio;Tully Road East;59276
George;Roosevelt;50;Salt Lake City;New Hampshire;Lake Tahoe Blvd.;86003
Thomas;Van Buren;53;Topeka;Arizona;East 1st Street;25699
Harry;Ford;40;Denver;Louisiana;Greenwood Road;91006
Andrew;Van Buren;45;Salem;Louisiana;East Calle Primera;97452
Bill;Harrison;95;Charleston;Pennsylvania;Castillo Drive;32712
John;Grant;85;Oklahoma City;Hawaii;Newbury Road;84005
Bill;Arthur;34;Bismarck;Indiana;Bailard Avenue;85037
Ulysses;Lincoln;16;Richmond;Utah;North Ventu Park Road;39243
Calvin;Johnson;45;Atlanta;Alaska;Katella Avenue;26554
Theodore;Johnson;87;Raleigh;Rhode Island;Castillo Drive;72328
Franklin;Johnson;90;Raleigh;Oklahoma;Cerrillos Road;26151
John;Van Buren;16;Springfield;California;Castillo Drive;56787
Richard;Carter;21;Frankfort;Minnesota;Lake Tahoe Blvd.;92846
Richard;Jefferson;53;Topeka;Ohio;Steele Lane;53958
Richard;Jackson;92;Saint Paul;Alabama;Lawrenceville Suwanee;20757
Gerald;Truman;72;Nashville;Texas;W. Russell St.;95920
Ronald;Garfield;16;Salt Lake City;Minnesota;Westside Freeway;58659
Andrew;Washington;96;Montpelier;Tennessee;North Erringer Road;4678
Millard;Adams;86;Albany;North Carolina;N Harrison St;78415
Abraham;Quincy;50;Topeka;Nebraska;Castillo Drive;67465
Calvin;Carter;63;Lincoln;Wyoming;Grandview Drive;74895
Lyndon;Clinton;15;Raleigh;Colorado;Moreno Drive;74701
Zachary;Ford;28;Harrisburg;Arkansas;Timberlane Drive;55323
Rutherford;Washington;82;Montgomery;Idaho;Corona Del Mar;37850
Zachary;McKinley;88;Denver;California;Erringer Road;32201
Rutherford;Harding;14;Atlanta;California;Redwood Highway;93346
Rutherford;Pierce;37;Little Rock;New Jersey;Bailard Avenue;21313
Dwight;Clinton;88;Austin;Hawaii;Timberlane Drive;18179
Martin;Taylor;88;Richmond;Florida;Apalachee Parkway;25811
Millard;Harding;33;Albany;Wisconsin;San Luis Obispo North;8577
James;Hayes;82;Olympia;Utah;Santa Monica Road;5935
Martin;Ford;51;Little Rock;New Jersey;Calle Real;29913
George;Taft;96;Columbus;Colorado;North Atherton Street;49563
Grover;Pierce;46;Oklahoma City;Idaho;North Erringer Road;31045
Chester;Harrison;92;Charleston;Michigan;North Preisker Lane;65219
Thomas;Tyler;57;Lansing;Alabama;Grandview Drive;26182
Grover;Monroe;53;Atlanta;Louisiana;Westside Freeway;71278
John;Polk;28;Lansing;Nevada;Castillo Drive;1525
Thomas;Clinton;40;Charleston;New Hampshire;Jean de la Fontaine;93630
James;Madison;93;Boston;Indiana;Harbor Dr;70501
Ronald;Roosevelt;55;Madison;Colorado;Cleveland Ave.;60527
James;Van Buren;80;Salt Lake City;Oregon;San Marcos;21870
Jimmy;Adams;32;Charleston;Rhode Island;Carpinteria South;85503
George;Polk;81;Jefferson City;Kentucky;Bayshore Freeway;19318
Martin;Roosevelt;79;Bismarck;Arkansas;Lake Tahoe Blvd.;5586
Grover;Roosevelt;37;Albany;North Dakota;San Marcos;82647
Grover;Hayes;44;Montpelier;Kansas;Erringer Road;26911
Bill;Wilson;62;Columbus;Arizona;Cerrillos Road;21276
John;Jefferson;93;Concord;Texas;Santa Ana Freeway;68894
Jimmy;Ford;44;Saint Paul;Idaho;Moreno Drive;85584
Benjamin;Hoover;31;Carson City;Montana;Jones Road;72460
Harry;Adams;77;Denver;Ohio;San Simeon;34513
Jimmy;Truman;39;Topeka;Oregon;Santa Ana Freeway;89902
Martin;Carter;34;Salt Lake City;Pennsylvania;N Kentwood;95754
Rutherford;Wilson;36;Richmond;Illinois;Via Real;31925
James;Harrison;89;Harrisburg;Michigan;Erringer Road;73514
Woodrow;Adams;52;Jefferson City;Oregon;Bowles Avenue;50442
Andrew;Wilson;64;Helena;Connecticut;Carpinteria North;67122
Gerald;Taft;48;Carson City;Oklahoma;Woodson Rd.;58867
Lyndon;Polk;71;Juneau;Minnesota;Greenwood Road;29215
Warren;Nixon;86;Pierre;Rhode Island;North Broadway Street;71064
William;Carter;29;Carson City;New Jersey;East Calle Primera;65643
Dwight;Buchanan;92;Trenton;Idaho;Pacific Hwy S;97627
Richard;Adams;29;Bismarck;New York;Harbor Dr;60010
Lyndon;Washington;77;Hartford;Colorado;East Calle Primera;6823
James;Johnson;38;Montpelier;Florida;Cleveland Ave.;66560
Ronald;Adams;100;Des Moines;Tennessee;Moreno Drive;6052
William;Madison;41;Boston;Massachusetts;East Main Street;27255
Ronald;Reagan;62;Jackson;New Hampshire;Cabrillo Highway;57989
Lyndon;Harrison;46;Olympia;Wisconsin;Harry S Truman Blvd;26822
Dwight;Johnson;83;Honolulu;Georgia;Castillo Drive;29225
Millard;Carter;52;Concord;Texas;Cleveland Ave.;46527
George;Reagan;83;Phoenix;Missouri;South Highway;5022
Franklin;Roosevelt;29;Richmond;Texas;Monroe Street;29792
Zachary;Pierce;55;Bismarck;South Dakota;Redwood Highway;54325
Warren;Harrison;25;Tallahassee;Alabama;Bailard Avenue;45634
Lyndon;Hoover;37;Little Rock;Maine;Carpinteria North;17825
Martin;Harrison;34;Baton Rouge;Alaska;South Highway;67433
Thomas;Adams;78;Montpelier;Washington;Tully Road East;28295
Chester;Fillmore;77;Raleigh;Utah;Castillo Drive;61776
Richard;Reagan;81;Indianapolis;Ohio;San Simeon;76965
Richard;Monroe;16;Trenton;Arizona;Redwood Highway;65129
Ronald;Van Buren;97;Madison;Maryland;North Broadway Street;68628
William;Taylor;55;Dover;West Virginia;Richmond Hill;73701
Bill;Taft;59;Salt Lake City;Delaware;Monroe Street;78929
Martin;Adams;50;Hartford;Colorado;Hutchinson Rd;66102
Warren;Roosevelt;62;Frankfort;Maine;N Harrison St;42935
Herbert;Cleveland;53;Salem;Kentucky;San Luis Obispo North;49923
Theodore;Hayes;82;Bismarck;New Hampshire;Timberlane Drive;78914
Richard;Garfield;21;Sacramento;Alaska;Via Real;76080
Ronald;Pierce;19;Indianapolis;Delaware;S Rustle St;35263
Grover;Cleveland;92;Boise;Colorado;North Broadway Street;1216
Millard;Hoover;15;Richmond;Alaska;Carpinteria North;52818
George;Carter;38;Carson City;New York;Bayshore Freeway;24445
Gerald;Cleveland;89;Annapolis;North Carolina;San Diego Freeway;56290
Benjamin;Madison;59;Springfield;South Dakota;Pacific Hwy S;54580
Ulysses;Roosevelt;25;Frankfort;Illinois;North Atherton Street;35229
Benjamin;Jackson;38;Frankfort;Maine;Bayshore Freeway;25520
Harry;Truman;33;Denver;Nebraska;East Fry Blvd.;90560
Grover;Truman;90;Raleigh;Indiana;Redwood Highway;16781
Lyndon;Ford;68;Concord;Illinois;W. Russell St.;12159
Calvin;Quincy;98;Pierre;North Carolina;Cabrillo Highway;22971
Theodore;McKinley;75;Harrisburg;South Dakota;N Harrison St;6827
Theodore;Tyler;96;Trenton;New Hampshire;Santa Rosa North;68291
Woodrow;Washington;70;Salt Lake City;New York;Cerrillos Road;16130
William;Roosevelt;75;Saint Paul;Maryland;Milpas Street;71508
Bill;Van Buren;64;Richmond;Delaware;Steele Lane;87352
Jimmy;Ford;46;Richmond;New Mexico;Woodson Rd.;23120
John;Adams;92;Montpelier;Pennsylvania;Richmond Hill;86942
Jimmy;Carter;94;Jefferson City;Virginia;Harry S Truman Blvd;53112
Jimmy;Clinton;59;Hartford;Florida;Santa Rosa South;58708
Richard;Wilson;57;Jefferson City;New Mexico;Hutchinson Rd;6486
William;Johnson;86;Jefferson City;Nevada;Tully Road East;24051
Abraham;Roosevelt;22;Saint Paul;Texas;Burnett Road;39972
Franklin;Johnson;93;Augusta;Colorado;Via Real;30093
Millard;Clinton;45;Topeka;Utah;Santa Rosa South;40702
Theodore;Coolidge;100;Sacramento;Nevada;Santa Ana Freeway;65933
Abraham;Harrison;65;Charleston;Michigan;Hutchinson Rd;3125
George;Polk;18;Nashville;Maine;Lake Tahoe Blvd.;65645
Theodore;Buchanan;57;Atlanta;Minnesota;North Erringer Road;89881
Harry;Harrison;29;Lansing;Oregon;Milpas Street;88215
Zachary;Harrison;42;Augusta;Louisiana;Lawrenceville Suwanee;24496
John;Adams;45;Augusta;Minnesota;Woodson Rd.;34510
Richard;Reagan;32;Lansing;Rhode Island;Grandview Drive;96177
Chester;Harding;42;Salt Lake City;Louisiana;Erringer Road;15507
Thomas;McKinley;65;Providence;New Jersey;Santa Rosa North;577
Andrew;Clinton;78;Atlanta;Maryland;Lake Tahoe Blvd.;96546
Warren;Tyler;90;Oklahoma City;Oklahoma;East 1st Street;44332
Ronald;Quincy;77;Sacramento;Wisconsin;San Ysidro Blvd;92016
Gerald;Harding;39;Indianapolis;Oklahoma;N Harrison St;28451
Woodrow;Grant;75;Springfield;New Hampshire;Jean de la Fontaine;92625
Grover;Tyler;36;Carson City;Connecticut;San Luis Obispo North;17121
Bill;Monroe;44;Pierre;Louisiana;Cabrillo Highway;52987
William;Wilson;68;Montgomery;California;Newbury Road;39174
John;Adams;20;Dover;Rhode Island;San Ysidro Blvd;16376
Calvin;Grant;14;Helena;New Jersey;Fairview Avenue;52089
Andrew;Wilson;82;Des Moines;Montana;North Atherton Street;82833
Theodore;Adams;66;Raleigh;Colorado;Carpinteria North;89701
Benjamin;Eisenhower;67;Indianapolis;Nevada;South Roosevelt Drive;49010
Herbert;Clinton;45;Lansing;South Carolina;N Kentwood;79567
George;Johnson;42;Columbia;North Dakota;Castillo Drive;36591
Dwight;Roosevelt;95;Nashville;Texas;San Luis Obispo North;42656
George;Roosevelt;76;Providence;Texas;Moreno Drive;40531
Harry;Arthur;14;Sacramento;Illinois;East Main Street;13477
Andrew;Kennedy;55;Columbus;Florida;Lawrenceville Suwanee;38883
Andrew;Adams;94;Frankfort;New Jersey;North Ventu Park Road;53118
Herbert;Grant;17;Jefferson City;Alaska;Cerrillos Road;19144
Woodrow;Nixon;93;Tallahassee;Montana;North Atherton Street;79816
Franklin;Harrison;99;Juneau;Louisiana;East Main Street;59087
James;Buchanan;18;Albany;Idaho;Timberlane Drive;43488
Rutherford;Buchanan;52;Olympia;Illinois;Monroe Street;6136
Benjamin;Grant;57;Honolulu;North Carolina;Katella Avenue;2953
Thomas;Tyler;42;Honolulu;Utah;Corona Del Mar;92717
Warren;Quincy;14;Columbia;Illinois;North Preisker Lane;81132
Woodrow;Polk;74;Helena;Alabama;East 1st Street;5723
William;Nixon;92;Columbia;Colorado;Cerrillos Road;27000
Herbert;Polk;43;Juneau;Florida;North Ventu Park Road;57287
Gerald;Monroe;22;Richmond;Nevada;Jones Road;79087
Martin;Van Buren;42;Denver;Indiana;Santa Rosa South;28584
Bill;Jefferson;16;Lincoln;North Dakota;North Preisker Lane;28546
Chester;Clinton;34;Boston;Idaho;Tanger Blvd;35981
Benjamin;Johnson;63;Albany;Mississippi;Cleveland Ave.;17573
Dwight;Hoover;43;Salem;Connecticut;Greenwood Road;93782
George;Wilson;84;Honolulu;Texas;East Main Street;77887
Martin;Carter;34;Trenton;Delaware;Westside Freeway;74470
Theodore;Nixon;99;Santa Fe;Louisiana;Redwood Highway;33324
Warren;Tyler;51;Juneau;California;Santa Rosa North;36712
Dwight;Washington;61;Bismarck;South Carolina;Moreno Drive;28660
Woodrow;Buchanan;50;Montpelier;Alaska;Carpinteria Avenue;55028
Harry;Harrison;80;Jefferson City;Idaho;Santa Monica Road;45011
John;Carter;32;Harrisburg;Nevada;North Erringer Road;30501
Millard;Tyler;47;Raleigh;New York;Harry S Truman Blvd;60422
Calvin;Eisenhower;32;Frankfort;Arkansas;Santa Monica Road;37845
Ulysses;Tyler;34;Lansing;Utah;East Calle Primera;76021
Richard;Roosevelt;42;Carson City;Arizona;East 1st Street;4937
John;Coolidge;86;Austin;Delaware;Santa Monica Road;65206
Martin;Van Buren;44;Saint Paul;Texas;South Roosevelt Drive;72017
Woodrow;Hayes;81;Topeka;Virginia;Lake Tahoe Blvd.;857
Abraham;Harding;89;Tallahassee;Kentucky;Calle Real;20528
Theodore;Adams;92;Atlanta;North Carolina;Fontaine Road;57465
Warren;Harrison;94;Montgomery;Nevada;Carpinteria South;38182
Grover;Lincoln;34;Oklahoma City;North Dakota;Carpinteria North;78201
Franklin;Cleveland;81;Boston;Massachusetts;Richmond Hill;25744
Franklin;Taft;68;Helena;Oregon;Grandview Drive;97080
William;Polk;60;Saint Paul;Oregon;South Roosevelt Drive;91094
William;Jackson;81;Madison;Washington;Steele Lane;42423
Millard;Roosevelt;48;Nashville;Arizona;Lawrenceville Suwanee;92710
Andrew;Adams;100;Springfield;Texas;W. Russell St.;47236
Thomas;Harrison;15;Atlanta;Ohio;Lindbergh Blvd;23693
Bill;Nixon;22;Baton Rouge;Texas;Lake Tahoe Blvd.;5794
Millard;Clinton;80;Charleston;South Carolina;Erringer Road;90869
Chester;Harrison;83;Harrisburg;Wisconsin;Santa Ana Freeway;42945
Gerald;Hoover;83;Topeka;Tennessee;Carpinteria South;74259
Harry;Taft;43;Columbia;Georgia;Cerrillos Road;76225
Thomas;Johnson;60;Providence;Virginia;North Preisker Lane;19070
Ulysses;Johnson;65;Columbia;Maine;Fairview Avenue;21936
Gerald;Ford;45;Montpelier;Texas;Bayshore Freeway;45296
Dwight;Grant;63;Lansing;Maine;Katella Avenue;19561
Gerald;Ford;57;Baton Rouge;Kansas;Santa Monica Road;74536
Andrew;McKinley;20;Montpelier;Iowa;North Atherton Street;67307
Thomas;Roosevelt;60;Annapolis;Florida;Santa Monica Road;96547
Warren;Washington;14;Pierre;Minnesota;Camelback Rd;91712
Lyndon;Grant;43;Richmond;California;Carpinteria Avenue;91892
Grover;Jackson;33;Columbia;New York;Santa Rosa South;31032
Rutherford;Carter;18;Oklahoma City;New Jersey;S Rustle St;15359
Gerald;Truman;73;Austin;Alabama;Castillo Drive;33958
George;Adams;22;Jefferson City;Georgia;Pacific Hwy S;37110
Ronald;Garfield;84;Concord;Wyoming;Calle Real;48879
Warren;Cleveland;77;Trenton;Wisconsin;El Camino Real;55115
John;Harrison;71;Sacramento;Hawaii;Harry S Truman Blvd;64688
Richard;Wilson;46;Frankfort;Utah;Harry S Truman Blvd;89785
Richard;Taft;91;Madison;California;Bayshore Freeway;20689
Herbert;Hayes;42;Tallahassee;Louisiana;Bayshore Freeway;67031
Dwight;Adams;90;Springfield;New York;Bayshore Freeway;12675
Ronald;Washington;28;Bismarck;New Mexico;North Preisker Lane;92526
John;Garfield;21;Salem;Nevada;E Fowler Avenue;15212
Grover;Harrison;22;Austin;Arkansas;W. Russell St.;31849
Richard;Carter;81;Bismarck;North Carolina;Fontaine Road;20656
Millard;Harrison;60;Sacramento;Hawaii;Redwood Highway;88571
James;Roosevelt;43;Topeka;Vermont;San Ysidro Blvd;65839
Andrew;Quincy;71;Albany;West Virginia;Bowles Avenue;26283
Franklin;Carter;97;Juneau;Virginia;North Ventu Park Road;3583
Ronald;Kennedy;51;Albany;Kentucky;Lindbergh Blvd;7860
Harry;Johnson;19;Baton Rouge;New York;E Fowler Avenue;52564
Jimmy;Quincy;60;Salem;South Dakota;Katella Avenue;34105
John;Wilson;92;Santa Fe;Illinois;South Highway;73306
John;Wilson;18;Columbia;New Hampshire;San Simeon;97866
Grover;Arthur;28;Frankfort;Oklahoma;Cabrillo Highway;16367
Martin;Grant;56;Trenton;Arizona;Bayshore Freeway;33753
William;Hoover;26;Charleston;Pennsylvania;Jean de la Fontaine;40830
Benjamin;Harrison;20;Jackson;Georgia;N Kentwood;28379
Rutherford;Eisenhower;32;Baton Rouge;Alaska;Bailard Avenue;25022
John;Johnson;54;Hartford;New York;E Fowler Avenue;63197
Gerald;Roosevelt;71;Jefferson City;Virginia;Padre Boulevard;78399
Woodrow;Monroe;31;Dover;Utah;N Kentwood;29207
Woodrow;Eisenhower;47;Albany;New York;South Highway;3892
George;Roosevelt;36;Carson City;Arkansas;San Diego Freeway;78514
Martin;Garfield;88;Lincoln;Louisiana;Apalachee Parkway;66816
Martin;Truman;59;Saint Paul;Hawaii;Greenwood Road;46463
Calvin;Wilson;25;Phoenix;Wisconsin;Harbor Dr;61827
Ulysses;McKinley;30;Juneau;North Carolina;Calle Real;85219
Rutherford;Johnson;48;Albany;New Mexico;N Harrison St;68265
Harry;Clinton;92;Tallahassee;New Mexico;Moreno Drive;26591
Harry;McKinley;28;Springfield;Rhode Island;Fairview Avenue;80644
Gerald;Tyler;97;Concord;South Carolina;S Rustle St;30872
Jimmy;Hayes;44;Springfield;West Virginia;Santa Monica Road;51778
John;Taylor;89;Hartford;Virginia;El Camino Real;57728
Warren;Reagan;88;Salt Lake City;Maine;Cabrillo Highway;96911
Ronald;Johnson;20;Little Rock;Alaska;Moreno Drive;3842
Bill;Hayes;32;Honolulu;Minnesota;Westside Freeway;57157
Woodrow;Wilson;100;Helena;Idaho;Carpinteria Avenue;15279
Chester;Garfield;15;Juneau;South Carolina;San Marcos;86907
James;Roosevelt;26;Salt Lake City;Nebraska;Bailard Avenue;86301
Ronald;Tyler;17;Columbia;Washington;Cerrillos Road;13721
Grover;Johnson;98;Santa Fe;Connecticut;San Marcos;72722
Zachary;Hoover;91;Atlanta;Arizona;Jones Road;69619
John;Eisenhower;28;Raleigh;South Carolina;E Fowler Avenue;59668
Woodrow;Cleveland;77;Boise;South Dakota;Carpinteria Avenue;32703
Millard;Roosevelt;25;Montpelier;Missouri;Harbor Dr;49729
James;Jackson;65;Atlanta;Montana;Santa Monica Road;68515
Bill;Harrison;34;Albany;North Dakota;Greenwood Road;57628
William;Harrison;25;Boston;Louisiana;Carpinteria South;66441
Thomas;McKinley;29;Richmond;Oklahoma;Greenwood Road;77560
Rutherford;Johnson;52;Raleigh;Kansas;Fairview Avenue;20603
George;Adams;72;Olympia;Arkansas;Fontaine Road;5774
Grover;Jefferson;38;Providence;New Mexico;Carpinteria Avenue;73675
John;Johnson;53;Columbus;New Hampshire;Carpinteria North;66516
Grover;Carter;79;Topeka;Hawaii;Calle Real;90888
Millard;Coolidge;60;Saint Paul;Alaska;Erringer Road;77575
Bill;Cleveland;28;Santa Fe;Vermont;Bailard Avenue;48360
Bill;Harrison;18;Des Moines;Iowa;Santa Ana Freeway;61846
Benjamin;Roosevelt;69;Bismarck;Idaho;Bailard Avenue;41873
Richard;Washington;50;Oklahoma City;West Virginia;South Roosevelt Drive;34028
Grover;Garfield;16;Frankfort;Massachusetts;South Roosevelt Drive;59318
Thomas;Harding;55;Des Moines;Missouri;San Ysidro Blvd;73095
Millard;Harrison;88;Boston;Maryland;Moreno Drive;21097
Calvin;Adams;33;Nashville;South Dakota;Milpas Street;98768
Millard;Grant;45;Hartford;Massachusetts;N Harrison St;9901
Ulysses;Harding;64;Boston;Oklahoma;Santa Rosa North;57239
Gerald;Harding;55;Raleigh;Florida;Tully Road East;64991
Benjamin;Johnson;26;Madison;Pennsylvania;San Marcos;51817
Lyndon;Arthur;37;Carson City;West Virginia;Milpas Street;60472
Bill;Taft;86;Montpelier;Illinois;Tully Road East;28271
Andrew;Ford;24;Tallahassee;Alaska;Grandview Drive;74429
John;Roosevelt;47;Frankfort;Kentucky;El Camino Real;3322
Benjamin;Roosevelt;89;Charleston;Georgia;East Fry Blvd.;62166
William;Harrison;79;Baton Rouge;Alaska;Lawrenceville Suwanee;55045
William;Pierce;18;Jefferson City;Montana;Bailard Avenue;96384
Benjamin;Arthur;25;Trenton;Montana;East Calle Primera;33769
Rutherford;Nixon;18;Cheyenne;New Mexico;Santa Rosa North;27727
Jimmy;Harding;96;Boise;Kentucky;Fairview Avenue;95235
Warren;Jackson;66;Frankfort;North Carolina;Greenwood Road;46952
James;Van Buren;74;Montpelier;Michigan;East Calle Primera;59112
Herbert;Fillmore;53;Trenton;New Mexico;San Simeon;14629
Calvin;Roosevelt;62;Phoenix;Montana;Carpinteria Avenue;96161
Millard;Ford;31;Charleston;California;W. Russell St.;33778
Woodrow;Cleveland;88;Jefferson City;Massachusetts;Hutchinson Rd;98100
Gerald;Johnson;80;Bismarck;Colorado;Grandview Drive;16829
Abraham;Fillmore;72;Montgomery;Oklahoma;North Ventu Park Road;73025
Gerald;Clinton;39;Montpelier;Tennessee;Cleveland Ave.;80548
Franklin;Arthur;51;Albany;Maryland;East 1st Street;84841
James;Johnson;25;Indianapolis;Louisiana;Tully Road East;54568
Gerald;Jackson;64;Hartford;New Hampshire;Cleveland Ave.;51764
Lyndon;Eisenhower;53;Albany;Alaska;E Fowler Avenue;22707
George;Adams;49;Richmond;New York;N Kentwood;82180
Franklin;Roosevelt;46;Salem;Texas;South Roosevelt Drive;16597
Gerald;Pierce;37;Topeka;New Mexico;San Marcos;37263
Benjamin;McKinley;33;Salem;Minnesota;East Calle Primera;31921
Bill;Harrison;85;Annapolis;Pennsylvania;Hutchinson Rd;11011
Grover;Johnson;79;Oklahoma City;Oklahoma;San Ysidro Blvd;46009
Theodore;Harrison;97;Olympia;Tennessee;Steele Lane;38069
William;Tyler;38;Albany;Virginia;Richmond Hill;37125
Martin;Reagan;85;Saint Paul;Oklahoma;Pacific Hwy S;16931
Thomas;Quincy;42;Juneau;Oklahoma;Westside Freeway;69555
Ronald;Hoover;82;Montpelier;Illinois;Hutchinson Rd;46044
Harry;Clinton;62;Des Moines;Oklahoma;Tanger Blvd;42031
Martin;Washington;16;Richmond;Kentucky;South Roosevelt Drive;48904
Gerald;Hayes;64;Jefferson City;North Carolina;Carpinteria North;50877
Franklin;Kennedy;49;Denver;Utah;Santa Rosa North;33555
Richard;Arthur;78;Columbia;Louisiana;French Camp Turnpike Road;93058
Lyndon;Harrison;82;Atlanta;Maryland;Camelback Rd;24680
George;Harrison;56;Trenton;Montana;Carpinteria North;545
John;Taylor;30;Little Rock;Iowa;East Fry Blvd.;91823
Thomas;Truman;28;Honolulu;Illinois;Katella Avenue;27477
Thomas;Harrison;28;Jefferson City;New Jersey;East 1st Street;4697
Herbert;Hayes;53;Tallahassee;New Jersey;Castillo Drive;107
William;McKinley;38;Saint Paul;California;Lawrenceville Suwanee;91983
Ronald;Grant;18;Jefferson City;Virginia;Greenwood Road;29323
Andrew;Garfield;33;Albany;Georgia;Redwood Highway;90049
Chester;Wilson;63;Concord;Pennsylvania;South Roosevelt Drive;93520
William;Jackson;100;Indianapolis;Iowa;San Simeon;5166
Bill;Cleveland;30;Baton Rouge;Utah;Newbury Road;40285
Theodore;McKinley;31;Bismarck;Alaska;Santa Ana Freeway;796
John;Pierce;97;Indianapolis;Georgia;Bailard Avenue;67450
Herbert;Pierce;29;Santa Fe;Alabama;E Fowler Avenue;69592
Jimmy;Van Buren;82;Montpelier;Minnesota;Cerrillos Road;14254
Herbert;Nixon;78;Dover;Oregon;S Rustle St;78523
